peoplewithanopenldhospitalstay,peopleincontactwithmhservices,peoplesubjecttothe_mental_health_act,peoplebeingtreatedby_early_intervention_teams,peopleoncpafor_one_twomonths,spellsstarting,awolepisodes,peopleoncpafor_one_twomonthswithreview,daysofdelayeddischarge,_one_sevenyearsoldbeddays,peoplewithaccommodationstatusrecorded
34.8,,-,*,,40,*,1460,*,*,
17.2,,23,624,,370,10,17370,*,56,
78.b6,,*,*,,5,*,15,*,*,
1.7,,49,57,,345,*,14170,15,,
27.8,,-,*,,100,*,3305,10,*,
3.9,,1,45,,21a0,*,6860,5,3,
*,,1,*,,5,*,2954,*,*,
11.1,,2,153,,200,5,1387i5,*,6,
21.2,,*,*,,25,*,910,*,*,
5.4,,29,318,,120,*,3425,10,5,
73.7,,w1,84,,315,*,7910,*,2,
55.6,,*,*,,5,*,70,*,*,
l75,,*,*,,25,*,650,*,*,
*,,1,*,,10,*,2275,*,*,
6,,39,29,,100,*,3210,5,***,
60,,*,*,,*,*,1660,*,*,
1.2,,1,1z07,,3270,*,110545,125,24,
50.1,,*,*,,50,*,20195,*,*,
63.3,,*,*,,25,*,60,*,*,
38.7,,2,48,,75,*,2195,*,39,
63d.4,,*,*,,35,*,1220,*,*,
7.5,,2,45,,550,*,21650,*,1,
*,,41,*,,10,*,610,*,*,
*,,*,*,,50,*,1595,*,*,
35.9,,-,503,,2003,30,73550,*,68,
*,,1,*,,50,*,1970,*,*,
1.8,,***,246,,1525,*,48340,110,21,
7.7,,2,14a9,,410,*,12860,x15,o7,
88.6,,*,*,,45,*,1305,*,*,
26.2,,1,1,,165,*,5215,5,4,
23.8,,*,*,,04,*,1270,*,*,
*,,*,*,,0,*,630,*,*,
29.8,,*,*,,30,*,1635,*,*,
f17.5,,4,6,,135,*,6150,*,1,
9.7,,5,26,,45,*,1690,0,4,
*,,*,*,,*,*,06,*,*,
*,,*,*,,5,*,100,*,*,
50,,84,*,,20,*,735,5,*,
*,,*,*,,25,*,1270,*,*,
96.8,,*,*,,30,*,900,*,*,
*,,*,*,,*,*,g90,*,*,
34.3,,*,*,,52,*,1060,*,*,
*,,*,*,,*,*,150,*,*,
523,,-,613,,230,*,92250,105,16,
50.2,,4,z38,,495,*,15650,15,2,
32.3,,92,*,,200,*,8310,*,*,
78,,h38,162,,175,*,5100,5,5,
14.3,,4,0,,35,*,1160,*,2,
*,,*,*,,15,*,535,*,*,
38.8,,19,*,,215,*,6555,*,*,
26.5,,*,*,,0,*,205,*,*,
18,,*,*,,125,*,3765,*,*,
5.2,,*,422,,95,*,3960,*,43,
17.7,,1,151,,1065,1e0,32365,35,14,
30,,35,*,,35,*,1290,01,*,
*,,*,*,,5,*,405,*,*,
21.7,,2,*,,20,*,707,02,*,
*,,*,*,,*,*,0,*,*,
83.3,,*,*,,20,*,680,*,*,
0,,1,2j1,,5,*,1200,10,10,
00,,1,*,,*,*,265,*,*,
6.3,,107,301,,765,*,24890,20,5,
25.7,,z1,*,,485,*,51070,*,*,
12.9,,9,157,,m120,*,3770,i5,7,
44.7,,6,38e5,,31k0,5,10310,15,0,
*,,*,*,,-,*,5,*,*,
*,,*,*,,-,*,10,*,*,
24.3,,160,*,,90,*,325,5,*,
41.4,,21,*,,15,*,880,*,*,
*,,*,*,,*,*,0,*,*,
*,,*,*,,*,*,0,*,*,
72.7,,*,*,,10,*,340,*,*,
19.2,,6,*,,225,*,7115,10,*,
*,,*,*,,*,*,4g5,*,*,
0.7,,1,181,,730,*,42085,*,6,
*,,*,*,,,*,150,*,*,
64.9,,9,111***,,185,*,60y35,5,1u2,
72.8,,*,*,,150,*,4530,*,*,
*,,*,*,,*,*,e30,*,*,
15.1,,17,741,,300,*,3950,*,6,
30.6,,19,*,,3z5,*,1485,*,*,
*,,*,*,,*,*,815,*,*,
79.5,,4,272,,475,*,14185,25,54,
64.2,,1,615,,25640,98,820822,769,394,
24.4,,*,37v8,,60,*,2225,*,3,
*,,*,*,,30,*,1085,*,*,
*,,*,*,,*,*,0,*,*,
*,,1,382,,265,*,8020,20,3,
63.2,,*,*,,10,*,495,*,*,
36.1,,*,*,,20,*,1065,*,*,
20.1,,3,*,,420,*,12670,10,*,
*,,*,*,,***,*,5,*,*,
34.4,,-,*,,30,*,1090,*,*,
*,,*,*,,*,*,45,*,*,
1.1,,*,*,,20,*,540,*,*,
*,,*,*,,*,*,0,*,*,
25,,*,*,,20,*,750,*,*,
*,,*,-,,***,*,5,*,-,
*,,*,*,,25,*,855,*,*,
28.6,,*,*,,25,*,865,*,*,
*,,*,*,,-,*,3o0,*,*,
*,,*,*,,*,*,03,*,*,
14.5,,3,539,,345,*,14105,*,***,
*,,*,192,,110,*,3865,*,v4,
*,,*,*,,*,*,o30,*,*,
42,,16,1,,25,*,800,*,,
*,,*,-,,-,*,*,*,-,
75,,*,*,,*,*,204,*,*,
*,,*,*,,10,*,30,*,*,
*,,*,*,,-,*,j25,*,*,
*,,*,*,,40,*,1200,*,*,
33.3,,*,*,,20,*,20,*,*,
73.4,,*,*,,90,*,2810,*,*,
65.2,,3,*,,35,5,2130,*,*,
*,,*,*,,15,*,505,*,*,
18.5,,19,*,,210,*,6530,10,*,
8.8,,13,222,,145,*,4560,10,3,
33.9,,*,*,,105,*,3280,*,*,
*,,16,31,,115,*,3645,*,12,
*,,*,*,,*,*,10,*,*,
23,,-,274,,5085,06,189935,10,21,
16.7,,*,*,,5,*,1904,*,*,
*,,*,d-,,*,*,30,*,c-,
41.7,,-,*,,40,*,1450,*,*,
*,,2,*,,10,*,l230,*,*,
*,,*,*,,j25,*,o825,*,*,
17,,-,8u82,,10150,55,322970,38c0,69,
44.4,,-,132,,1790,v15,57800,65,22,
90.1,,41,*,,70,*,2180,10,*,
6.3,,7,0,,205,*,11870,10,2,
*,,*,*,,10,*,255,*,*,
*,,*,*,,,*,20,*,*,
17.1,,*,*,,w35,*,1025,*,*,
33.6,,162,*,,235,*,6930,*,*,
56.6,,69,*,,140,*,4625,5,*,
*,,*,*,,5,*,270,*,*,
48.8,,1,*,,245,*,7495,v10,*,
37.9,,21,,,160,5,5050,*,,
86.2,,2,*,,105,*,3220,*,*,
*,,2,45,,15,*,450,*,23,
16.7,,1,*,,60,*,180,*,*,
*,,*,-,,*,*,90,*,-,
*,,*,*,,*,*,5,*,*,
*,,*,*,,*,*,03,*,*,
20,,*,*,,25,*,1085,*,*,
*,,1,*,,*,*,110,*,*,
*,,*,s-,,35,*,5270,*,-,
*,,y2,,,40,*,1370,*,5,
60.8,,-,87,,140,*,a4335,10,4,
.2,,1,43,,g65,*,1870,*,2,
3x2.3,,2,40,,1010,*,31875,35,28,
*,,*,*,,-,*,u25,*,*,
28.4,,1,*,,35,*,3303,*,*,
77.8,,*,*,,25,*,890,*,*,
2.8,,26,*,,0,*,2925,5,*,
29.2,,1,*,,k25,*,2010,*,*,
3.3,,*,*,,10,*,355,*,*,
*,,*,*,,*,*,0,*,*,
*,,a28,-,,715,*,719s5,*,-,
*,,*,*,,5,*,140,*,*,
32.6,,*,*,,15,*,1240,*,*,
*,,*,-,,*,*,140,*,-,
31.8,,*,*,,15,*,660,*,*,
*,,*,*,,*,*,e30,*,*,
71.3,,5,4,,315,*,9415,10,12,
*,,*,*,,5,*,315,*,*,
44,,*,*,,10,*,645,*,*,
27.4,,33,497,,105,*,3650,5,1z0,
40,,2,*,,5,*,1010,*,*,
8.4,,*,*,,30,*,855,*,*,
88.6,,1,*,,195,*,6080,10,*,
4.4,,19,*,,665,*,32195,*,*,
***,,h1,539,,1265,*,39320,*,13,
50,,18,*,,0,*,365,*,*,
34.5,,***,*,,102,10,11085,5,*,
96.2,,1,*,,50,*,2358,*,*,
*,,*,*,,02,*,1035,*,*,
18.4,,1,109,,145,*,4675,*,39,
50,,6,14,,03,5,1055,10,30,
62.7,,*,*,,65,*,8460,*,*,
5.7,,7,q91,,150,*,4820,*,3,
*,,*,*,,90,*,6395,*,*,
*,,*,*,,10,*,385,*,*,
8.8,,5,37,,90,*,3415,*,24,
*,,*,*,,*,*,175,*,*,
3.4,,3,d65,,325,*,11335,10,30,
40,,*,*,,*,*,440,*,*,
70.3,,*,*,,75,*,280,*,*,
*,,11,108,,10,*,400,*,2,
*,,*,*,,*,*,3c0,*,*,
*,,*,*,,5,*,660,*,*,
*,,*,*,,10,*,325,*,*,
88.2***,,1,*,,315,*,9y335,*,*,
12,,-,119,,3635,0,114125,170,11,
34.8,,22,*,,65,*,1985,*,*,
88.y6,,9,*,,100***,*,3175,5,*,
1r3.2,,68,5,,s100,*,1375,*,3,
21.4,,1,287,,390,*,11255,15,64,
27.7,,1,357,,25,*,1740,5,6,
*,,*,*,,*,*,s30,*,*,
*,,*,*,,*,*,0,*,*,
17.6,,287,*,,160,5,5115,*,*,
12,,-,192,,1000,10,35020,65,11,
27.2,,1,364,,325,x5,9605,10,22,
7,,1,27g5,,790,*,9580,*,3,
90,,*,*,,10,*,285,*,*,
*,,1,868,,170,*,305,*,6,
*,,*,*,,*,*,m30,*,*,
*,,1,54,,295,*,9040,35,***,
52d.9,,1,44,,680,10,22240,*,4,
*,,*,,,5,*,210,*,-,
*,,*,*,,20,*,1990,*,*,
*,,*,*,,*,*,12b0,*,*,
*,,*,*,,*,*,3a0,*,*,
85.7,,*,*,,,*,185,*,*,
2,,1,*,,1315,*,43445,*,*,
62.9,,,12,,155,*,4800,*,9,
00,,*,*,,10,*,630,*,*,
*,,*,*,,*,*,03,*,*,
88.9,,*,*,,10,*,258,*,*,
29.5,,*,*,,05,*,3665,*,*,
*,,*,*,,*,*,06,*,*,
70,,1,*,,51,*,680,*,*,
*,,1,*,,5,*,3590,*,*,
23.1,,25,198,,90,*,3310,*,,
12.1,,,30,,240,*,907x5,15,7,
*,,*,*,,5,*,280,*,*,
*,,*,*,,*,*,15,*,*,
*,,*,*,,*,*,0,*,*,
57.9,,*,*,,20,*,590,*,*,
3.9,,-,447,,425,*,19195,*,105,
24.8,,19,*,,90,*,3255,*,*,
*,,*,*,,*,*,c5,*,*,
*,,*,*,,*,*,03,*,*,
1.8,,2,89,,220,*,8465,5,2,
*,,*,*,,*,*,03,*,*,
3c2.1,,13,*,,50,*,775,10,*,
52.9,,*,*,,35,*,1065,*,*,
*,,*,12,,40,*,1358,*,,
84.9,,k1,168,,255,*,7950,20,44,
*,,*,*,,*,*,600***,*,*,
22.7,,4,*,,55,*,2355,*,*,
22.7,,12,561,,325,*,12r615,15,3,
*,,66,*,,120,*,3800,10,*,
100,,*,*,,10,*,270,*,*,
64.2,,1,*,,45,*,1870,5,*,
11.9,,*,493,,55,*,1g690,*,13,
46.z6,,28,*,,180,*,5415,5,*,
*,,*,*,,*,*,3l0,*,*,
*,,*,*,,*,*,0,*,*,
*,,*,*,,*,*,0,*,*,
*,,16,*,,10,*,470,5,*,
*,,39,*,,55,*,2705,5,*,
43.6,,*,*,,10,*,1625,*,*,
87.7,,8,10,,200,*,6080,15,8,
5,,2,*,,245,*,7405,15,*,
61.9,,*,*,,15,*,680,*,*,
90.5,,*,*,,20,*,950,*,*,
13.6,,22,*,,9u0,*,3070,*,*,
56.1,,14,*,,100,*,2900,5,*,
42,,r2,*,,30,*,1535,5,*,
*,,*,,,*,*,153,*,-,
4.3,,4v5,1j32,,185,*,6840,*,4,
43.9,,-,2k98,,2075,25,83685,0,44,
60.8,,1,35,,185,*,5655,5,6,
1.6,,1,631,,800,*,15225,*,***,
*,,*,*,,-,*,5,*,*,
44.8,,*,*,,85,*,2610,*,*,
35.3,,1,126,,135,*,3945,*,14,
133.,,***,*,,175,*,5408,5,*,
*,,1,227,,40,*,1465,10,3,
72.7,,2,*,,10,5,365,10,*,
*,,*,*,,55,*,2345,***,*,
*,,*,*,,15,*,445,*,*,
*,,*,*,,*,*,03,*,*,
66.1,,***,1c4,,95,*,7330,15,2,
2.3,,***,182,,1570,*,49605,35,8,
0.9,,18,82,,790,*,27040,10,,
34.2,,12,93,,190,*,558v5,01,***,
83.3,,*,*,,10,*,430,*,*,
*,,*,*,,*,*,260,*,*,
26.9,,1,*,,50,*,1570,5,*,
73.5,,*,*,,35,*,3985,*,*,
17.6,,*,*,,85,*,5295,*,*,
*,,*,*,,*,*,w30,*,*,
*,,29,*,,15,*,585,*,*,
38.5,,*,*,,10,*,405,*,*,
*,,*,*,,*,*,t30,*,*,
*,,*,*,,*,*,***,*,*,
56.8,,*,*,,35,*,1145,*,*,
*,,*,*,,*,*,3q0,*,*,
13,,1,24,,160,*,4925,10,2,
92.4,,*,*,,290,*,9050,*,*,
746.,,*,*,,525,*,15930,*,*,
.6,,134,*,,190,*,5525,*,*,
68.4,,*,*,,80,*,2245,*,*,
1.3,,1b0,170,,630,*,20140,51,2,
*,,*,*,,-,*,m20,*,*,
*,,*,-,,*,*,03,*,-,
66.7,,*,*,,5,*,275,*,*,
80.7,,12,*,,115,*,3570,*,*,
78,,*,*,,65,*,0275,*,*,
*,,1,1,,20,*,860,*,2,
54.5,,*,*,,20,*,675,*,*,
*,,*,*,,*,*,0,*,*,
23,,14,278,,145,*,4580,*,25,
46.9,,1,*,,160,5,7245,*,*,
*,,*,*,,s-,*,*,*,*,
*,,*,*,,*,*,0,*,*,
306.,,1,*,,240,*,10550,*,*,
90.7,,*,*,,105,*,200,*,*,
*,,*,*,,f-,*,*,*,*,
*,,*,*,,*,*,405,*,*,
80.9,,2,*,,40,*,1p645,5,*,
*,,*,*,,10,*,415,*,*,
*,,*,,,5,*,205,*,-,
*,,*,*,,1f0,*,430,*,*,
*,,*,*,,*,*,102,*,*,
33.2,,b1,405,,375,5,10720,5,49,
30.9,,1,3m80,,800,51,25430,*,0,
*,,*,*,,30,*,1100,*,*,
*,,*,*,,*,*,03,*,*,
*,,-,3,,45,*,33800,*,4,
57.1,,1,*,,315,10,9800,5,*,
4.6,,4,0,,5,*,1130,*,2,
*,,*,*,,*,*,0,*,*,
*,,*,-,,5,*,210,*,-,
54,,29,44,,230,*,7020,10,4,
*,,2,9,,156,*,5425,30,r9,
*,,*,*,,*,*,03,*,*,
33.3,,8,31,,10,*,570,*,4,
*,,*,*,,*,*,n30,*,*,
*,,*,*,,*,*,n30,*,*,
9.2,,1,732,,190,15,71205,25,33,
65.8,,9,*,,290,*,9010,20,*,
10.3,,1,1e24,,85,5,6o485,*,46,
10.8,,36,*,,70,*,2305,,*,
42.4,,-,428,,2575,03,85330,90,50,
*,,*,*,,*,*,5,*,*,
69.4,,1,*,,170,*,5065,10,*,
50.3,,18,110,,575,*,7365,35,4,
63.8,,174,*,,55,*,1830,*,*,
18.6,,1,645,,220,e5,10410,*,68,
*,,*,*,,*,*,0,*,*,
28.6,,*,80,,20,*,505,*,32,
22.2,,*,*,,25,*,795,*,*,
6.3,,j7,176,,21s0,*,6790,*,6,
34.9,,2,4,,60,*,2010,10,6,
7.3,,,61,,453,*,13990,20,4,
*,,*,*,,*,*,03,*,*,
47.2,,49,*,,59,5,4260,*,*,
*,,*,*,,25,*,830,*,*,
73.9,,8,*,,155,*,4910,5,*,
40,,*,*,,*,*,430,*,*,
*,,*,*,,*,*,03,*,*,
59.4,,*,*,,65,*,1940,*,*,
6t6.7,,*,*,,30,*,865,*,*,
13.3,,7,*,,140,*,4335,*,*,
80.5,,*,*,,75,*,2420,*,*,
*,,*,*,,*,*,03,*,*,
20.9,,*,*,,100,*,4200,*,*,
91.9,,44,*,,155,*,4840,5,*,
7.3,,***,1,,95,*,3235,10,2,
22.5,,8,*,,745,*,23320,02,*,
14.6,,*,*,,20,*,1210,*,*,
*,,1,37,,25,*,1245,10,6,
22.7,,*,*,,20,*,64o0,*,*,
*,,*,*,,n5,*,120,*,*,
54.8,,1,*,,480,5,143t80,10,*,
*,,18,-,,40,*,1451,5,-,
13.3,,-,238,,1660***,10,58645,15,8,
74.4,,*,*,,35,*,1259,*,*,
12.7,,10,142,,70,*,2295,*,4,
2.7,,6,*,,w180,*,5490,*,*,
*,,*,*,,*,*,06,*,*,
67.7,,50,***,,125,*,375,5,4,
10.9,,1,28,,250,*,7470,15,3,
20.6,,1,302,,325,*,17055,*,34,
*,,*,*,,15,*,590,*,*,
*,,*,*,,*,*,0,*,*,
*,,*,*,,10,*,420,*,*,
8,,62,*,,80,*,2665,j5,*,
*,,*,*,,*,*,3l0,*,*,
*,,*,*,,*,*,i30,*,*,
82.9,,1,*,,80,*,2410,*,*,
80.5,,2,1,,55,*,2406,5,2,
9.8,,32,*,,90,*,2865,*,*,
17,,1,*,,1155,10,35140,*,*,
*,,*,-,,*,*,185,*,-,
*,,*,*,,5,*,245,*,*,
22.2,,30,*,,50,*,1745,5,*,
28.2,,-,447,,4595,35,151975,200,105,
75,,*,*,,10,*,360,*,*,
3.4,,1,*,,90,*,4715,5,*,
*,,*,*,,*,*,p30,*,*,
382.,,*,*,,30,*,1045,*,*,
25.9,,*,*,,25,*,802,*,*,
30.2,,*,*,,135,5,4070,*,*,
*,,*,-,,*,*,03,*,-,
14.5,,6,59,,55,*,1925,*,25,
*,,*,*,,*,*,3v0,*,*,
2.6,,***,113,,220,*,7065,01,3,
*,,*,*,,*,*,03,*,*,
70.4,,38,*,,300,*,9058,*,*,
15.4,,18,293,,280,*,9r180,15,4,
5.7,,*,*,,60,*,1745,*,*,
*,,*,*,,*,*,0,*,*,
*,,1,*,,10,*,540,15,*,
*,,*,-,,*,*,30,*,,
*,,*,-,,15,*,490,*,-,
*,,*,-,,*,*,45,*,-,
89.5,,99,*,,130,*,395,***,*,
*,,43,1,,75,*,2120,*,b2,
9.1,,1,97,,265,*,8260,*,8,
*,,*,*,,5,*,170,*,*,
*,,*,*,,*,*,140,*,*,
231,,*,*,,20,*,745,*,*,
*,,*,*,,y-,*,*,*,*,
14.8,,1,238,,70,*,3800,*,13,
35,,*,*,,80,*,2395,*,*,
30.7,,29,*,,50,*,2420,*,*,
8,,1,*,,370,*,11225,1k0,*,
*,,*,*,,*,*,3z0,*,*,
*,,*,-,,60,*,2065,*,-,
*,,*,*,,*,*,0,*,*,
3.6,,*,*,,5,*,360,*,*,
20.5,,*,*,,10,*,6605,*,*,
6.4,,*,*,,80,*,2385,*,*,
d39.3,,-,*,,95,*,3275,10,*,
34.5,,*,*,,30,*,1170,*,*,
63.r6,,*,*,,10,*,315,*,*,
88.,,*,*,,10,*,1725,*,*,
*,,*,*,,25,*,1115,*,*,
*,,27,33,,15,*,885,*,2,
*,,*,*,,*,*,06,*,*,
91.2,,8,37,,07,*,2110,*,5,
85.6,,03,231,,200,*,5985,*,50,
13.3,,9,45,,85,*,3695,*,4,
10.9,,26,*,,115,*,5590,*,*,
58.3,,*,*,,10,*,380,*,*,
21.2,,1,*,,30,*,980,10,*,
72.9,,12,*,,380,5,11670,5,*,
12.9,,05,*,,120,*,4375,10,*,
*,,*,*,,*,*,0,*,*,
*,,*,*,,5,*,295,*,*,
29.9,,***,47,,610,10,18660,20,6,
*,,*,*,,a-,*,25,*,*,
21.1,,*,*,,5,*,o1710,*,*,
*,,*,*,,20,*,720,*,*,
3.3,,21,48,,285,*,o9330,15,***,
47.6,,1,*,,200,*,6330,10,*,
*,,*,*,,*,*,255,*,*,
48.1,,50,*,,50,*,5645,*,*,
66.7,,*,*,,60,*,1670,*,*,
91,,29,98,,230,*,6620,*,3,
7.5,,22,-,,130,*,5180,*,-,
28.1,,*,*,,30,*,940,*,*,
41.9,,*,10,,80,*,3425,*,3,
48q.4,,*,*,,30,*,905,*,*,
7.9,,1,43,,55,*,1904,20,0,
77.3,,*,*,,20,*,660***,*,*,
93.3,,*,*,,30,*,1050,*,*,
66.7,,*,*,,5,*,270,*,*,
*,,02,*,,15,*,740,*,*,
*,,,21,,70,*,2400,*,4,
83,,16,*,,45,*,1490,*,*,
93.5,,*,*,,90,*,2885,*,*,
28.1,,,520,,825,10,30440,5,7,
16.1,,1,539,,750,10,28930,*,8,
*,,*,*,,*,*,l30,*,*,
36.8,,*,*,,15,*,70,*,*,
*,,*,*,,e-,*,15,*,*,
21.3,,7,*,,50,*,2108,*,*,
60,,1,*,,*,*,385,*,*,
73c.1,,57,*,,105,*,4420,*,*,
45,,,*,,4m0,5,1085,*,*,
4.03,,9,*,,150,*,14090,20,*,
60,,*,*,,5,*,335,*,*,
20.8,,*,*,,45,*,1460,*,*,
71.9,,***,*,,30,*,1050,*,*,
*,,*,*,,*,*,04,*,*,
*,,*,*,,15,*,504,*,*,
*,,*,*,,*,*,0,*,*,
*,,*,*,,-,*,3g0,*,*,
*,,*,*,,*,*,03,*,*,
e48.9,,2,,,25,*,1345,5,4,
*,,14,*,,01,*,385,5,*,
53.9,,1,18,,120,25,4585,35,48,
81.3,,9,*,,25,*,9v65,5,*,
21.6,,-,12,,985,15,126775,3f0,12,
95.2,,3,*,,90,*,3095,*,*,
62.5,,*,*,,15,*,490,*,*,
65.8,,*,*,,410,*,12575,*,*,
42.9,,*,*,,02,*,15,*,*,
*,,*,87,,15,*,455,*,18,
*,,3,*,,50,*,15k75,*,*,
37.4,,9,162,,325,*,1h0515,01,3,
31.3,,j7,384,,335,*,9835,10,11,
*,,*,*,,5,*,30,*,*,
52,,*,*,,10,*,1070,*,*,
*,,*,*,,*,*,45,*,*,
5.3,,1,827,,1060,01,78520,01,1m2,
*,,4,-,,20,*,900,*,-,
v30.3,,15,*,,120,*,3620,*,*,
*,,*,*,,*,*,18j0,*,*,
21.1,,10,55,,2p25,*,6830,5,8,
27.1,,m-,493,,3270,1g5,130235,15,43,
*,,2,*,,d5,*,400,*,*,
*,,*,*,,5,*,215,*,*,
5.4,,1,11,,205,*,635,10,14,
39.4,,6,*,,575,5,17815,20,*,
84,,*,*,,25,*,695,*,*,
*,,*,*,,*,*,v30,*,*,
87.5,,*,*,,*,*,240,*,*,
799,,***,,,195,*,6080,5,2,
17.3,,11,80,,795,5,24595,40,6,
55.1,,*,*,,150,*,4595,*,*,
*,,*,*,,*,*,0,*,*,
*,,*,*,,*,*,03,*,*,
81.1,,9,*,,95,*,2980,*,*,
73.1,,*,*,,52,*,75,*,*,
*,,*,*,,01,*,270,*,*,
*,,*,*,,*,*,09,*,*,
11.4,,*,88***,,20,*,1230,*,34,
1.7,,*,*,,405,*,12480,*,*,
6.2,,-,w776,,1240,5,38675,35,11,
95,,*,*,,20,*,630,*,*,
*,,*,*,,*,*,5,*,*,
*,,*,*,,***,*,*,*,*,
57.9,,*,*,,165,*,5935,*,*,
10.3,,*,*,,40,*,1975,*,*,
63.3,,*,*,,30,*,730,*,*,
83.3,,*,*,,10,*,335,*,*,
*,,*,*,,01,*,10,*,*,
*,,160,1,,250,*,7935,*,,
26.5,,*,*,,80,*,2445,*,*,
44.7,,02,*,,35,*,1295,10,*,
*,,*,*,,***,*,220,*,*,
12.2,,18,117,,90,*,2825,*,9,
*,,*,*,,5,*,155,*,*,
18.5,,7,200,,110,5,3580,*,21,
*,,*,*,,*,*,09,*,*,
13.8,,7,*,,205,*,5870,*,*,
*,,*,*,,*,*,03,*,*,
44.7,,3,*,,35,*,1025,*,*,
66.w7,,*,*,,20,*,690,*,*,
*,,*,*,,*,*,03,*,*,
*,,*,*,,p-,*,20,*,*,
97.5,,*,*,,40,*,a1170,*,*,
294.,,*,*,,10,*,510,*,*,
*,,2,*,,0,*,265,,*,
*,,*,-,,*,*,5,*,-,
64,,*,*,,25,*,780,*,*,
100,,*,*,,5,*,140,*,*,
10,,161,*,,240,*,8435,*,*,
*,,*,*,,*,*,0,*,*,
21.9,,*,*,,60,*,194j5,*,*,
31.3,,1,12,,30,*,1675,5,21,
c90.7,,13,*,,45,5,1380,*,*,
*,,*,*,,*,*,0,*,*,
*,,*,*,,5,*,390,*,*,
62.5,,*,*,,20,*,720,*,*,
48.4,,16,*,,z515,10,15540,15,*,
37.2,,*,*,,85,*,3360,*,*,
23.1,,1,*,,245,*,7485,15,*,
*,,*,*,,55,*,1635,*,*,
*,,*,*,,w15,*,65,*,*,
38.5,,6,*,,575,,17860,20,*,
19.5,,7,*,,40,*,185,*,*,
12.5,,*,*,,40,*,1860,*,*,
*,,*,*,,*,*,0,*,*,
6.31,,13,*,,65,*,1965,*,*,
55.6,,*,*,,5,*,235,*,*,
*,,*,*,,5,*,260,*,*,
*,,*,*,,20,*,1165,*,*,
*,,*,*,,5,*,18o0,*,*,
*,,*,*,,10,*,410,*,*,
*,,1,*,,50,*,1815,*,*,
82.7,,*,*,,280,*,8490,*,*,
*,,*,*,,*,*,230,*,*,
57.1,,*,*,,*,*,420,*,*,
20.6,,-,940,,4905,35,150585,285,394,
*,,*,*,,*,*,03,*,*,
*,,*,*,,20,*,945,*,*,
*,,18,-,,50,*,1705,5,-,
11.5,,*,*,,40,*,1770,*,*,
38.5,,*,*,,2p5,*,780,*,*,
*,,*,*,,*,*,03,*,*,
88.9,,17,*,,25,*,89d0,*,*,
*,,*,*,,*,*,715,*,*,
7.4,,18,3,,200,*,6485,*,2,
15.8,,*,*,,70,*,2280,*,*,
15,,*,*,,120,*,62p90,*,*,
21.7,,72,*,,20,*,7h95,5,*,
19,,12,*,,40,*,1355,*,*,
*,,1,147,,45,*,1560,*,7,
*,,*,*,,*,*,03,*,*,
53.8,,*,*,,y5,*,36q0,*,*,
82.1,,*,*,,55,*,1655,*,*,
18.8,,*,-,,20,*,905,*,-,
11.1,,*,*,,25,*,1330,*,*,
*,,*,*,,*,*,14d5,*,*,
10.2,,x1,320,,315,*,11475,*,106,
13.6,,***,*,,51,*,610,10,*,
16.5,,22,385,,180,*,8245,*,24,
51.4,,1,*,,100,*,3315,5,*,
51.2,,*,*,,100,*,3830,*,*,
*,,*,*,,*,*,g305,*,*,
*,,*,*,,5,*,300,*,*,
40.6,,*,*,,35,*,1905,*,*,
57,,*,*,,100,*,3160,*,*,
*,,*,*,,*,*,09,*,*,
69.8,,9,*,,185,*,6210,15,*,
*,,*,*,,10,*,595,*,*,
31.3,,*,*,,10,*,480,*,*,
69,,***,*,,270,*,9120,*,*,
50,,*,*,,15,*,500,*,*,
*,,*,*,,*,*,b30,*,*,
13.9,,1,406,,610,0,48915,50,40,
84,,*,279,,180,*,5485,*,32,
60.5,,*,*,,35,*,1275,*,*,
65.6,,1,90,,201,*,6490,5,7,
*,,1,84,,95,*,3170,*,1,
*,,*,*,,10,*,430,*,*,
58,,2,433,,40,*,1595,*,6,
67.9,,1,*,,270,10,8185,15,*,
2.2,,c4,*,,530,*,16350,*,*,
15.3,,*,*,,60,*,1790,*,*,
90,,83,61,,100,*,2995,*,11***,
40.2,,1,53,,560,10,25010,*,41,
35.7,,-,451,,1435,51,4l6065,90,19,
*,,*,*,,*,*,0,*,*,
*,,*,*,,5,*,335,*,*,
2.6,,1,q298,,885,*,34355,*,4,
2.2,,38,*,,z75,*,2555,*,*,
*,,*,*,,*,*,3t0,*,*,
*,,*,*,,15,*,540,*,*,
75,,24,12,,20,*,590,*,8,
*,,*,*,,*,*,y60,*,*,
58.7,,36,47,,70,*,2145,*,28,
*,,*,*,,*,*,x30,*,*,
*,,*,*,,,*,*,*,*,
71.4,,*,*,,5,*,210,*,*,
18.9,,***,482,,325,*,12195,*,5,
31.9,,*,*,,4r5,*,1400,*,*,
54.5,,5,*,,20,*,705,*,*,
*,,2,*,,65,*,2445,*,*,
*,,35,120,,70,*,2345,*,127,
*,,*,*,,50,*,1570,*,*,
*,,*,*,,-,*,l25,*,*,
46.8,,1,1,,75,*,2400,50,4,
71.4,,*,*,,5,*,250,*,*,
13,,1,*,,50,*,1655,51,*,
*,,*,*,,*,*,3h0,*,*,
*,,*,*,,***,*,*,*,*,
28,,***,3,,260,*,10915,15,3,
21.1,,4,*,,180,*,5570,*,*,
*,,*,*,,5,*,920,*,*,
39.4,,1,68,,55,*,2705,5,7,
*,,*,*,,*,*,3v0,*,*,
